Date,Time,A2(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2017-11-26,19:48:56.100,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:56.200,6.7,81,4.9,-6,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:56.330,6.7,81,4.9,-6,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:56.430,6.7,81,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:56.530,6.7,81,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:56.630,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:56.730,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:56.860,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:56.960,6.7,82,4.9,-6,1,-1024,3,-510,204,0,1,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:57.060,6.7,82,4.9,-6,1,-1024,3,-510,204,-1,1,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:57.160,6.7,82,4.9,-6,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:57.290,6.7,82,4.9,-6,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:57.390,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:57.490,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:57.590,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:57.690,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:57.820,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
