Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-08,00:36:26.070,15.20,3.80,30005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:26.170,15.20,3.80,10005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:26.270,15.20,3.80,30005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:26.370,15.20,3.80,20005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:26.470,15.20,3.80,10005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:26.570,15.20,3.80,30005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:26.670,15.20,3.80,10005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:26.770,15.20,3.80,30005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:26.870,15.20,3.80,20005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:26.970,15.20,3.80,10005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:27.070,15.20,3.80,30005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:27.170,15.20,3.80,20005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:27.270,15.20,3.80,10005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:27.370,15.20,3.80,30005,101,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:27.470,15.10,3.77,10005,101,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:27.570,15.10,3.77,30005,101,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:27.670,15.10,3.77,20005,101,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:27.770,15.10,3.77,30005,99,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:27.870,15.10,3.77,30005,99,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:27.970,15.10,3.77,20005,99,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:28.070,15.10,3.77,30005,99,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:28.170,15.10,3.77,20005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:28.270,15.10,3.77,10005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:28.370,15.10,3.77,30005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:28.470,15.10,3.77,20005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:28.570,15.10,3.77,10005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:28.670,15.10,3.77,20005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:28.770,15.10,3.77,20005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:28.870,15.10,3.77,30005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:28.970,15.10,3.77,20005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:29.070,15.10,3.77,30005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
