Date,Time,RSSI(dB),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-11-07,21:56:50.930,80,-89,-13,-277,-298,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:51.430,85,463,-12,-258,496,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:51.930,85,206,3,-158,18,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:52.430,92,659,-87,-285,568,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:52.930,94,289,-121,-61,339,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:53.430,98,413,-132,24,264,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:53.930,93,579,-203,-187,418,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:54.430,85,43,-46,-87,-29,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:54.930,86,384,3,-193,372,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:55.430,85,280,-30,-109,275,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:55.930,83,-386,-151,-141,-806,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:56.430,81,-360,-498,27,-616,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:56.930,77,86,-285,295,420,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:57.430,79,-32,216,-127,77,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:57.930,82,-300,-180,-171,-271,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:58.430,93,-286,-101,-250,24,-108,204,-1,0,0,-1017,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:58.930,93,-355,-168,-155,-329,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:59.430,96,-294,-134,-96,-62,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:59.930,92,41,43,-217,232,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:00.430,73,-428,-94,-282,-450,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:00.930,80,-109,-109,20,12,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:01.430,71,522,43,-146,567,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:01.930,75,487,-305,51,455,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:02.430,85,246,-181,-60,-90,-108,204,-1,0,0,-1020,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:02.930,75,398,-20,-190,563,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:03.430,80,168,-114,-249,-188,-108,204,-1,0,0,-1020,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
